feature,cluster_id
sensor_00,0
sensor_04,0
sensor_05,0
sensor_06,0
sensor_07,0
sensor_08,0
sensor_09,0
sensor_10,0
sensor_11,0
sensor_12,0
sensor_13,0
sensor_37,0
sensor_48,0
sensor_49,0
sensor_44,1
sensor_45,1
sensor_46,1
sensor_47,1
sensor_38,2
sensor_39,2
sensor_40,2
sensor_41,2
sensor_42,2
sensor_43,2
sensor_51,3
sensor_14,4
sensor_16,4
sensor_17,4
sensor_18,4
sensor_19,4
sensor_20,4
sensor_21,4
sensor_22,4
sensor_23,4
sensor_24,4
sensor_25,4
sensor_26,4
sensor_27,4
sensor_28,4
sensor_29,4
sensor_30,4
sensor_31,4
sensor_32,4
sensor_33,4
sensor_34,4
sensor_35,4
sensor_36,4
sensor_01,5
sensor_02,5
sensor_03,5
