column_name,null_count,missing_pct
sensor_51,15383,6.9821
sensor_00,10208,4.6333
sensor_07,5451,2.4741
sensor_08,5107,2.318
sensor_06,4798,2.1777
sensor_09,4595,2.0856
sensor_01,369,0.1675
sensor_30,261,0.1185
sensor_29,72,0.0327
sensor_32,68,0.0309
sensor_17,46,0.0209
sensor_18,46,0.0209
sensor_22,41,0.0186
sensor_25,36,0.0163
sensor_16,31,0.0141
sensor_38,27,0.0123
sensor_39,27,0.0123
sensor_40,27,0.0123
sensor_41,27,0.0123
sensor_42,27,0.0123
sensor_43,27,0.0123
sensor_44,27,0.0123
sensor_45,27,0.0123
sensor_46,27,0.0123
sensor_47,27,0.0123
sensor_48,27,0.0123
sensor_49,27,0.0123
sensor_14,21,0.0095
sensor_26,20,0.0091
sensor_02,19,0.0086
sensor_03,19,0.0086
sensor_04,19,0.0086
sensor_05,19,0.0086
sensor_10,19,0.0086
sensor_11,19,0.0086
sensor_12,19,0.0086
sensor_13,19,0.0086
sensor_19,16,0.0073
sensor_20,16,0.0073
sensor_21,16,0.0073
sensor_23,16,0.0073
sensor_24,16,0.0073
sensor_27,16,0.0073
sensor_28,16,0.0073
sensor_31,16,0.0073
sensor_33,16,0.0073
sensor_34,16,0.0073
sensor_35,16,0.0073
sensor_36,16,0.0073
sensor_37,16,0.0073
