feature,non_null_count,median,iqr,iqr_outlier_count,iqr_outlier_pct,robust_z_outlier_count,robust_z_outlier_pct,zero_pct
sensor_00,210112,2.456539,0.06099500000000013,19995,0.0951635318306427,13207,0.06285695248248553,9.042796222966798e-05
sensor_01,219951,48.1336784362793,3.1683999999999983,13484,0.061304563289096205,9347,0.042495828616373646,1.8185868670749393e-05
sensor_02,220301,51.6493,2.3871499999999983,15486,0.070294733115147,13605,0.061756415086631475,0.0
sensor_03,220301,44.2274284362793,2.473960876464794,10723,0.04867431377978312,7900,0.03586002787095837,0.0
sensor_04,220301,632.638916015625,10.995322656249982,27237,0.123635389762189,25322,0.11494273743650732,0.0
sensor_05,220301,75.57679,10.93589,19359,0.0878752252599852,10167,0.04615049409671313,0.03648190430365727
sensor_06,215522,13.64294,1.193579999999999,11750,0.054518796224979356,10915,0.05064448176984252,0.0
sensor_07,214869,16.16753,0.5208299999999983,13809,0.0642670650489368,12119,0.05640180761301072,2.7923990896778967e-05
sensor_08,215213,15.49479,0.5136000000000003,15797,0.07340169971144866,12920,0.060033548159265475,0.0
sensor_09,215725,15.08247,0.06509999999999927,68761,0.31874377100475143,63559,0.294629736933596,4.635531347780739e-06
sensor_10,220301,44.291340000000005,6.758499999999998,18815,0.0854058765053268,17817,0.08087571095909687,0.00147979355518132
sensor_11,220301,45.36314,10.80012,17873,0.0811299086250176,17199,0.07807045814590038,0.018397556071011935
sensor_12,220301,32.51583,6.252919999999996,28683,0.13019913663578467,27382,0.1242935801471623,0.059268909355835876
sensor_13,220301,2.929809,11.321004,3,1.3617732102895583e-05,26190,0.11888280125827845,0.0687332331673483
sensor_14,220299,420.1062,2.8938499999999863,58154,0.2639775940880349,57592,0.26142651578082515,0.0
sensor_16,220289,462.8561,4.849300000000028,48815,0.22159526803426408,49816,0.22613929883017309,0.0074175287917235995
sensor_17,220274,462.02025000000003,12.718250000000012,37938,0.17223094872749395,35706,0.16209811416690123,0.06782461842977383
sensor_18,220274,2.5337035,0.14014000000000015,37883,0.1719812597038234,35603,0.16163051472257278,0.06819234226463404
sensor_19,220304,665.6724,4.377725000000055,58108,0.263762800493863,56786,0.25776200159779217,0.07576802963178154
sensor_20,220304,399.367,2.0668999999999755,59580,0.2704444767230736,59109,0.26830652189701504,0.00046299658653496987
sensor_21,220304,879.6976,6.6655000000000655,56063,0.254480172852059,52282,0.23731752487471858,0.0
sensor_22,220279,531.8559,55.292250000000024,27939,0.12683460520521703,61060,0.2771939222531426,0.06684704397604856
sensor_23,220304,981.925,139.88559999999995,26198,0.11891749582395236,23710,0.10762401045827584,0.0037312077856053454
sensor_24,220304,625.8735,27.45667500000002,31013,0.1407736582177355,49670,0.22546118091364659,0.052118890260730626
sensor_25,220284,740.2035,56.399324999999976,28480,0.12928764685587696,33910,0.15393764413212035,0.0650115305696283
sensor_26,220300,861.8696,128.61519999999996,27931,0.12678620063549706,26557,0.12054925102133454,0.0
sensor_27,220304,494.46844999999996,87.97659999999996,32756,0.14868545282881837,27241,0.12365186288038348,0.004008097901082141
sensor_28,220304,967.27985,261.2938750000003,27652,0.12551746677318615,23792,0.10799622340039218,0.0
sensor_29,220248,564.8725,225.07425,26430,0.12000108968072355,451,0.0020476916930006173,0.0
sensor_30,220059,668.9814,69.44440000000009,37156,0.16884562776346343,33756,0.15339522582580126,9.088471728036572e-06
sensor_31,220304,917.7083,142.1875,32613,0.1480363497712252,31183,0.14154531919529378,0.0
sensor_32,220252,878.8507500000001,183.27015000000006,26781,0.12159253945480632,26403,0.11987632348400923,0.0
sensor_33,220304,512.27175,65.40215,30005,0.13619816253903697,28478,0.12926683128767522,0.0
sensor_34,220304,226.35604999999998,144.35864999999998,0,0.0,0,0.0,0.0
sensor_35,220304,473.34934999999996,175.7144,10185,0.04623157092018302,7014,0.03183782409761057,0.0033045246568378242
sensor_36,220304,709.66805,548.7854499999999,0,0.0,0,0.0,0.0
sensor_37,220304,64.295485,62.0227075,0,0.0,0,0.0,0.06534152807030286
sensor_38,220293,49.47916,8.072919999999996,16212,0.07359289673298743,6976,0.031666916334154964,0.0
sensor_39,220293,35.41666,6.510420000000003,9084,0.04123599024934973,3154,0.014317295601766738,0.0
sensor_40,220293,66.40625,20.052080000000004,11447,0.05196261342847934,4243,0.019260711870100276,0.0
sensor_41,220293,34.8958320617676,5.208330000000004,10223,0.04640637696159206,4172,0.018938413839749788,0.0
sensor_42,220293,35.15625,4.166664123535206,8539,0.038762012410743875,2489,0.011298588697779775,0.0
sensor_43,220293,42.96875,7.03125,11723,0.05321549027885589,3880,0.01761290644732243,0.0
sensor_44,220293,40.50926,8.391205521240202,13114,0.059529808028398544,9156,0.04156282768857839,0.0
sensor_45,220293,40.21991,8.101855521240203,17024,0.07727889674206624,13844,0.06284357650946694,0.0
sensor_46,220293,44.849540000000005,10.706021729736293,13761,0.06246680557257834,10222,0.04640183755271388,0.0
sensor_47,220293,42.53472,7.523150000000001,13584,0.06166333020114121,9287,0.04215749025161943,0.0
sensor_48,220293,138.0208,124.42127,920,0.004176256167921813,160,0.0007263054205081414,0.0
sensor_49,220293,52.662040000000005,13.020830000000004,21413,0.0972023623083802,17205,0.07810052974901609,0.0
sensor_51,204937,197.338,37.615700000000004,21828,0.10651078136207713,17924,0.08746102460756232,0.0
