component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.8520313514930179,0.8520313514930179
PC2,0.11306601074922507,0.965097362242243
PC3,0.014141912743243076,0.979239274985486
PC4,0.006609450844464861,0.9858487258299509
PC5,0.0036040469096009567,0.9894527727395518
PC6,0.0022165208940257432,0.9916692936335776
PC7,0.0015183488216609818,0.9931876424552386
PC8,0.0009365250419128977,0.9941241674971515
PC9,0.0007384536442950728,0.9948626211414465
PC10,0.0006511018455356932,0.9955137229869823
