group_key,state,start_position,end_position,dwell_length_rows,start_order_value,end_order_value
0,normal,0,17154,17155,0,17154
0,abnormal,17155,17155,1,17155,17155
0,recovery,17156,18099,944,17156,18099
1,normal,0,6409,6410,18100,24509
1,abnormal,6410,6410,1,24510,24510
1,recovery,6411,9520,3110,24511,27620
2,normal,0,41696,41697,27621,69317
2,abnormal,41697,41697,1,69318,69318
2,recovery,41698,43009,1312,69319,70630
3,normal,0,7158,7159,70631,77789
3,abnormal,7159,7159,1,77790,77790
3,recovery,7160,7764,605,77791,78395
4,normal,0,49643,49644,78396,128039
4,abnormal,49644,49644,1,128040,128040
4,recovery,49645,58034,8390,128041,136430
5,normal,0,4699,4700,136431,141130
5,abnormal,4700,4700,1,141131,141131
5,recovery,4701,4741,41,141132,141172
6,normal,0,25266,25267,141173,166439
6,abnormal,25267,25267,1,166440,166440
6,recovery,25268,25342,75,166441,166515
7,normal,0,53803,53804,166516,220319
